Instância, TCI, FOI, RPTI, RPDI, TCF, FOF, RPTF, RPDF, QVMFO, QT, QP
1,0.000128,8,2,6,44.476658,6,0,6,1,13,8
2,0.000065,5,3,2,25.357801,2,2,0,3,13,8
3,0.000091,17,13,4,27.422417,10,6,4,5,18,11
4,0.000100,16,12,4,42.212456,14,10,4,2,19,12
5,0.000095,20,17,3,31.685579,8,5,3,8,21,13
6,0.000152,28,23,5,59.148949,7,4,3,11,31,20
7,0.000156,32,24,8,55.045700,12,5,7,11,31,20
8,0.000154,30,28,2,63.297752,17,15,2,9,33,21
9,0.000170,36,32,4,75.172478,26,20,6,9,34,22
10,0.000184,42,36,6,85.453049,28,22,6,11,39,25
11,0.000205,48,41,7,90.248047,33,29,4,14,44,28
12,0.000247,49,44,5,102.568161,39,31,8,6,44,28
13,0.000224,55,45,10,103.539597,41,31,10,13,49,31
14,0.000253,54,48,6,114.087418,40,34,6,14,50,32
15,0.000247,57,47,10,111.664497,44,34,10,13,52,33
16,0.000294,64,58,6,142.526306,44,38,6,17,62,40
17,0.000326,71,59,12,164.562256,50,38,12,17,62,40
18,0.000296,66,59,7,149.760132,48,40,8,17,64,41
19,0.000368,74,60,14,172.647202,56,41,15,16,65,42
20,0.000329,75,68,7,169.106796,55,48,7,19,70,45
21,0.000431,82,70,12,196.620422,59,47,12,20,75,48
22,0.000366,79,70,9,181.934036,54,47,7,21,75,48
23,0.000440,83,75,8,215.534729,62,52,10,20,80,51
24,0.000416,86,77,9,211.793915,67,58,9,19,81,52
25,0.000538,90,77,13,236.394272,63,51,12,23,83,53
26,0.000566,103,91,12,276.071503,81,69,12,20,93,60
27,0.000601,110,91,19,292.728088,89,69,20,20,93,60
28,0.000449,98,93,5,242.785889,71,66,5,26,95,61
29,0.000594,110,94,16,294.587891,82,64,18,25,96,62
30,0.000607,108,96,12,326.455750,84,73,11,23,101,65
31,0.000716,128,104,24,351.075836,98,74,24,29,106,68
32,0.000656,118,105,13,333.165527,87,75,12,29,106,68
33,0.000878,126,108,18,392.009827,99,81,18,25,111,71
34,0.000978,125,105,20,416.122437,96,74,22,27,112,72
35,0.000808,134,112,22,390.521820,108,86,22,22,114,73
36,0.001382,156,121,35,531.911804,126,91,35,27,124,80
37,0.000846,138,121,17,441.123840,109,90,19,23,124,80
38,0.000668,131,124,7,385.410767,100,94,6,29,126,81
39,0.000891,149,126,23,451.772125,110,89,21,37,127,82
40,0.000919,151,131,20,479.756744,110,91,19,36,132,85
41,0.000845,148,135,13,466.908234,130,120,10,17,137,88
42,0.000928,155,135,20,502.436188,121,100,21,31,137,88
43,0.001071,154,137,17,557.656189,134,117,17,20,142,91
44,0.000942,151,140,11,509.858063,118,104,14,30,143,92
45,0.000915,153,143,10,523.633911,120,110,10,33,145,93
46,0.001020,164,153,11,615.622070,140,130,10,23,155,100
47,0.001195,174,153,21,684.885986,161,148,13,12,155,100
48,0.000987,162,151,11,571.682556,143,134,9,19,157,101
49,0.001203,179,156,23,654.184692,137,116,21,36,158,102
50,0.001097,174,159,15,641.879578,154,140,14,19,163,105
