Instância, TCI, FOI, RPTI, RPDI, TCF, FOF, RPTF, RPDF, QVMFO, QT, QP
1,0.000129,9,4,5,25.694744,6,0,6,1,13,8
2,0.000069,7,4,3,12.145019,4,0,4,2,13,8
3,0.000105,18,14,4,15.673596,11,9,2,4,18,11
4,0.000127,17,13,4,26.333097,13,10,3,4,19,12
5,0.000108,19,16,3,18.973484,14,10,4,3,21,13
6,0.000145,27,23,4,31.030684,11,6,5,10,31,20
7,0.000152,31,24,7,32.213436,11,4,7,11,31,20
8,0.000198,40,27,13,41.084812,26,16,10,11,33,21
9,0.000141,36,32,4,33.456615,24,21,3,11,34,22
10,0.000170,39,35,4,42.490425,26,22,4,9,39,25
11,0.000233,48,42,6,55.504593,35,28,7,11,44,28
12,0.000283,54,42,12,58.648872,36,29,7,12,44,28
13,0.000215,53,46,7,53.570427,39,32,7,13,49,31
14,0.000267,57,48,9,63.136330,43,34,9,14,50,32
15,0.000257,58,46,12,61.859127,43,33,10,14,52,33
16,0.000297,71,59,12,82.929230,49,39,10,17,62,40
17,0.000336,69,58,11,83.138817,51,41,10,15,62,40
18,0.000351,69,58,11,90.073784,50,39,11,16,64,41
19,0.000372,77,60,17,91.817642,59,42,17,16,65,42
20,0.000480,91,68,23,107.412354,70,48,22,19,70,45
21,0.000348,77,70,7,97.499352,53,46,7,22,75,48
22,0.000368,76,70,6,102.171745,54,47,7,21,75,48
23,0.000409,86,74,12,111.657921,64,52,12,21,80,51
24,0.000408,85,77,8,113.528625,66,57,9,19,81,52
25,0.000434,91,77,14,123.339104,68,53,15,21,83,53
26,0.000679,112,91,21,160.770065,91,69,22,20,93,60
27,0.000542,105,91,14,153.225677,82,69,13,22,93,60
28,0.000721,112,93,19,170.450745,82,67,15,26,95,61
29,0.000511,107,93,14,150.278290,78,64,14,26,96,62
30,0.000885,121,96,25,203.137405,96,73,23,23,101,65
31,0.000593,116,104,12,182.642929,96,84,12,20,106,68
32,0.000675,122,105,17,182.392502,93,74,19,27,106,68
33,0.000788,122,108,14,202.180695,105,92,13,17,111,71
34,0.000845,127,105,22,211.623779,97,74,23,27,112,72
35,0.000780,130,112,18,217.086731,115,94,21,14,114,73
36,0.001140,156,121,35,288.093384,142,107,35,13,124,80
37,0.000712,131,121,10,223.394958,102,91,11,26,124,80
38,0.000984,150,124,26,253.072815,120,94,26,28,126,81
39,0.000923,140,126,14,245.513153,102,89,13,37,127,82
40,0.000843,141,130,11,239.447968,103,90,13,37,132,85
41,0.000916,149,135,14,272.328278,113,100,13,32,137,88
42,0.001288,157,135,22,296.351257,125,102,23,29,137,88
43,0.000948,154,137,17,274.195465,124,107,17,28,142,91
44,0.001077,164,140,24,300.279053,125,105,20,32,143,92
45,0.001139,160,142,18,325.140228,137,116,21,22,145,93
46,0.001105,169,152,17,328.723724,143,128,15,25,155,100
47,0.000982,165,153,12,323.091736,134,122,12,28,155,100
48,0.001373,182,151,31,402.845856,168,144,24,13,157,101
49,0.001151,173,156,17,350.468903,154,142,12,19,158,102
50,0.001264,178,159,19,384.269348,157,136,21,20,163,105
