Instância, TCI, FOI, RPTI, RPDI, TCF, FOF, RPTF, RPDF, QVMFO, QT, QP
1,0.000145,14,4,10,1.271222,10,0,10,2,13,8
2,0.000073,7,3,4,1.160969,5,1,4,2,13,8
3,0.000104,16,12,4,1.525515,11,8,3,3,18,11
4,0.000094,14,13,1,1.639363,8,7,1,6,19,12
5,0.000106,19,13,6,2.013902,15,11,4,4,21,13
6,0.000160,29,23,6,2.772529,14,7,7,10,31,20
7,0.000161,31,24,7,3.382096,20,14,6,7,31,20
8,0.000146,30,28,2,3.891870,19,17,2,8,33,21
9,0.000165,37,31,6,3.715187,24,19,5,10,34,22
10,0.000196,41,35,6,4.874613,31,26,5,8,39,25
11,0.000182,46,42,4,4.151524,31,29,2,14,44,28
12,0.000209,51,42,9,5.016122,36,29,7,12,44,28
13,0.000252,53,45,8,6.015848,39,31,8,13,49,31
14,0.000292,57,48,9,6.397516,42,34,8,14,50,32
15,0.000286,54,48,6,6.720445,42,35,7,11,52,33
16,0.000341,67,59,8,6.843663,45,38,7,18,62,40
17,0.000339,68,59,9,7.862020,49,39,10,17,62,40
18,0.000392,71,58,13,8.415314,50,40,10,17,64,41
19,0.000331,69,60,9,7.928866,50,42,8,17,65,42
20,0.000440,85,68,17,10.611331,64,48,16,19,70,45
21,0.000495,83,70,13,10.683304,66,52,14,15,75,48
22,0.000412,84,70,14,10.779641,60,47,13,20,75,48
23,0.000454,90,74,16,10.373906,69,51,18,19,80,51
24,0.000407,89,78,11,10.998149,65,55,10,23,81,52
25,0.000466,92,78,14,12.370501,68,54,14,22,83,53
26,0.000528,107,91,16,12.947108,82,69,13,23,93,60
27,0.000579,104,91,13,15.366749,83,69,14,18,93,60
28,0.000613,110,93,17,13.968928,81,66,15,25,95,61
29,0.000500,104,93,11,12.832578,75,63,12,25,96,62
30,0.000651,111,96,15,16.649920,91,73,18,20,101,65
31,0.000644,119,104,15,16.192259,89,74,15,28,106,68
32,0.000823,133,103,30,17.310276,101,73,28,28,106,68
33,0.000682,124,108,16,16.620989,92,78,14,29,111,71
34,0.000749,123,105,18,16.772661,91,73,18,28,112,72
35,0.000692,126,112,14,17.270809,105,92,13,20,114,73
36,0.000667,130,121,9,19.670540,99,91,8,27,124,80
37,0.000820,135,121,14,21.484825,107,91,16,26,124,80
38,0.001345,155,124,31,24.588539,124,94,30,28,126,81
39,0.001066,148,126,22,20.336405,110,89,21,37,127,82
40,0.000878,151,130,21,20.881720,110,91,19,37,132,85
41,0.000971,144,135,9,22.572432,110,101,9,30,137,88
42,0.000940,152,135,17,21.860832,118,100,18,30,137,88
43,0.001012,158,138,20,23.717957,136,116,20,21,142,91
44,0.000962,159,140,19,23.000565,121,103,18,34,143,92
45,0.000967,152,140,12,25.127682,121,108,13,31,145,93
46,0.001134,170,153,17,35.624439,158,138,20,12,155,100
47,0.001145,173,153,20,35.814133,153,139,14,18,155,100
48,0.001233,175,151,24,27.341476,149,127,22,25,157,101
49,0.001040,169,156,13,33.171307,151,137,14,18,158,102
50,0.001175,175,159,16,26.103205,130,116,14,42,163,105
